GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
org.maxicp:maxicp,org.maxicp.util,PQueue,38,69,5,9,8,14,5,8,2,4
org.maxicp:maxicp,org.maxicp.util,TriFunction,15,0,0,0,2,0,2,0,2,0
org.maxicp:maxicp,org.maxicp.util,GraphUtil.new GraphUtil.Graph() {...},9,11,0,0,2,2,2,2,2,2
org.maxicp:maxicp,org.maxicp.util,ImmutableSet,136,0,2,0,30,0,23,0,22,0
org.maxicp:maxicp,org.maxicp.util,GraphUtil,3,196,0,24,1,45,1,19,1,7
org.maxicp:maxicp,org.maxicp.util,HashMultimap,0,79,1,5,0,18,1,9,0,7
org.maxicp:maxicp,org.maxicp.util,ImmutableSet.Builder,44,0,0,0,12,0,5,0,5,0
org.maxicp:maxicp,org.maxicp.util,TimeIt,50,0,0,0,8,0,8,0,8,0
org.maxicp:maxicp,org.maxicp.util,Ints,61,0,4,0,9,0,5,0,3,0
org.maxicp:maxicp,org.maxicp.util,ImmutableSet.TrustMeBro,6,0,0,0,1,0,1,0,1,0
org.maxicp:maxicp,org.maxicp.util,Arrays.new Comparator() {...},18,0,0,0,2,0,2,0,2,0
org.maxicp:maxicp,org.maxicp.util,Arrays,462,132,48,16,85,31,41,14,17,6
org.maxicp:maxicp,org.maxicp.util,TimeIt.TimeItResult,9,0,0,0,1,0,1,0,1,0
org.maxicp:maxicp,org.maxicp.util,NumberUtils,115,158,31,39,19,25,24,22,2,9
org.maxicp:maxicp,org.maxicp.cp.engine.constraints.scheduling,GeneralizedCumulativeConstraintBaseLine.Event,58,0,4,0,17,0,10,0,7,0
org.maxicp:maxicp,org.maxicp.cp.engine.constraints.scheduling,GeneralizedCumulativeSweepMin,947,0,102,0,148,0,72,0,21,0
org.maxicp:maxicp,org.maxicp.cp.engine.constraints.scheduling,IntervalVarEnd,5,50,1,1,1,14,1,3,0,3
org.maxicp:maxicp,org.maxicp.cp.engine.constraints.scheduling,ThetaLambdaTree.Node,0,30,0,0,0,12,0,2,0,2
org.maxicp:maxicp,org.maxicp.cp.engine.constraints.scheduling,NoOverlap,3,71,0,4,1,12,1,4,1,2
org.maxicp:maxicp,org.maxicp.cp.engine.constraints.scheduling,NoOverlapLeftToRight,70,889,14,64,9,133,11,45,1,16
org.maxicp:maxicp,org.maxicp.cp.engine.constraints.scheduling,Profile,174,0,12,0,29,0,12,0,6,0
org.maxicp:maxicp,org.maxicp.cp.engine.constraints.scheduling,IsStartBefore,114,0,12,0,27,0,9,0,3,0
org.maxicp:maxicp,org.maxicp.cp.engine.constraints.scheduling,IntervalVarStart,0,47,0,0,0,13,0,3,0,3
org.maxicp:maxicp,org.maxicp.cp.engine.constraints.scheduling,Profile.Entry,15,0,0,0,2,0,2,0,2,0
org.maxicp:maxicp,org.maxicp.cp.engine.constraints.scheduling,CPMinusCumulFunction,95,58,13,5,14,10,10,4,1,4
org.maxicp:maxicp,org.maxicp.cp.engine.constraints.scheduling,IsStartBeforeStart,125,0,18,0,29,0,12,0,3,0
org.maxicp:maxicp,org.maxicp.cp.engine.constraints.scheduling,EndBeforeEnd,3,67,4,8,1,15,4,5,0,3
org.maxicp:maxicp,org.maxicp.cp.engine.constraints.scheduling,GeneralizedCumulativeChecker,247,0,30,0,41,0,19,0,4,0
org.maxicp:maxicp,org.maxicp.cp.engine.constraints.scheduling,CPPulseCumulFunction,23,71,4,8,0,15,4,8,0,6
org.maxicp:maxicp,org.maxicp.cp.engine.constraints.scheduling,CPPlusCumulFunction,10,135,2,14,2,22,2,11,0,5
org.maxicp:maxicp,org.maxicp.cp.engine.constraints.scheduling,GeneralizedCumulativeSweepMax,873,0,90,0,135,0,65,0,20,0
org.maxicp:maxicp,org.maxicp.cp.engine.constraints.scheduling,GeneralizedCumulativeSweepMax.EventList,192,0,0,0,27,0,8,0,8,0
org.maxicp:maxicp,org.maxicp.cp.engine.constraints.scheduling,EndAfter,3,54,3,5,1,14,3,4,0,3
org.maxicp:maxicp,org.maxicp.cp.engine.constraints.scheduling,GeneralizedCumulativeSweepMax.Event,36,0,0,0,11,0,6,0,6,0
org.maxicp:maxicp,org.maxicp.cp.engine.constraints.scheduling,NoOverlapBinaryWithTransitionTime,3,164,6,14,1,33,6,8,0,4
org.maxicp:maxicp,org.maxicp.cp.engine.constraints.scheduling,GeneralizedCumulativeConstraint.Event,7,51,0,4,1,16,1,9,1,6
org.maxicp:maxicp,org.maxicp.cp.engine.constraints.scheduling,StartBefore,0,57,2,6,0,15,2,5,0,3
org.maxicp:maxicp,org.maxicp.cp.engine.constraints.scheduling,EndBefore,0,57,1,7,0,15,1,6,0,3
org.maxicp:maxicp,org.maxicp.cp.engine.constraints.scheduling,ThetaLambdaTree,40,310,0,14,11,61,2,16,2,9
org.maxicp:maxicp,org.maxicp.cp.engine.constraints.scheduling,GeneralizedCumulativeSweepMin.Event,38,0,0,0,11,0,6,0,6,0
org.maxicp:maxicp,org.maxicp.cp.engine.constraints.scheduling,GeneralizedCumulativeConstraint,9,1480,12,145,1,185,12,81,0,13
org.maxicp:maxicp,org.maxicp.cp.engine.constraints.scheduling,CPStepAtStartCumulFunction,44,81,6,6,3,19,7,5,2,4
org.maxicp:maxicp,org.maxicp.cp.engine.constraints.scheduling,CPStepAtEndCumulFunction,114,0,10,0,20,0,11,0,6,0
org.maxicp:maxicp,org.maxicp.cp.engine.constraints.scheduling,GeneralizedCumulativeConstraintBaseLine,1452,0,151,0,183,0,90,0,13,0
org.maxicp:maxicp,org.maxicp.cp.engine.constraints.scheduling,StartAtEnd,3,87,4,8,1,17,4,5,0,3
org.maxicp:maxicp,org.maxicp.cp.engine.constraints.scheduling,IsStartBeforeEnd,125,0,18,0,29,0,12,0,3,0
org.maxicp:maxicp,org.maxicp.cp.engine.constraints.scheduling,StartBeforeStart,3,59,4,8,1,15,4,5,0,3
org.maxicp:maxicp,org.maxicp.cp.engine.constraints.scheduling,ThetaTree.Node,0,12,0,0,0,6,0,2,0,2
org.maxicp:maxicp,org.maxicp.cp.engine.constraints.scheduling,Activity,45,146,8,14,10,31,12,28,6,23
org.maxicp:maxicp,org.maxicp.cp.engine.constraints.scheduling,CPSumCumulFunction,121,35,16,2,18,5,11,3,3,2
org.maxicp:maxicp,org.maxicp.cp.engine.constraints.scheduling,GeneralizedCumulativeSweepMin.EventList,195,0,0,0,28,0,8,0,8,0
org.maxicp:maxicp,org.maxicp.cp.engine.constraints.scheduling,IntervalVarLength,0,47,0,0,0,13,0,3,0,3
org.maxicp:maxicp,org.maxicp.cp.engine.constraints.scheduling,StartAtStart,0,90,3,9,0,18,3,6,0,3
org.maxicp:maxicp,org.maxicp.cp.engine.constraints.scheduling,NoOverlapBCLeftToRight.State,0,9,0,0,0,1,0,1,0,1
org.maxicp:maxicp,org.maxicp.cp.engine.constraints.scheduling,NoOverlapGlobal,44,596,9,61,7,103,8,35,1,7
org.maxicp:maxicp,org.maxicp.cp.engine.constraints.scheduling,NoOverlapBCGlobal,30,380,6,36,6,61,6,21,0,6
org.maxicp:maxicp,org.maxicp.cp.engine.constraints.scheduling,GeneralizedCumulativeConstraintBaseLine.eventType,27,0,0,0,5,0,1,0,1,0
org.maxicp:maxicp,org.maxicp.cp.engine.constraints.scheduling,CumulativeDecomposition,0,186,0,4,0,23,0,8,0,6
org.maxicp:maxicp,org.maxicp.cp.engine.constraints.scheduling,IsEndBeforeStart,0,125,0,18,0,29,0,12,0,3
org.maxicp:maxicp,org.maxicp.cp.engine.constraints.scheduling,Alternative,0,324,0,32,0,65,0,19,0,3
org.maxicp:maxicp,org.maxicp.cp.engine.constraints.scheduling,GeneralizedCumulativeConstraint.eventType,0,27,0,0,0,5,0,1,0,1
org.maxicp:maxicp,org.maxicp.cp.engine.constraints.scheduling,StartBeforeEnd,3,59,4,8,1,15,4,5,0,3
org.maxicp:maxicp,org.maxicp.cp.engine.constraints.scheduling,EndAtStart,3,87,4,8,1,17,4,5,0,3
org.maxicp:maxicp,org.maxicp.cp.engine.constraints.scheduling,IsEndAfter,114,0,12,0,27,0,9,0,3,0
org.maxicp:maxicp,org.maxicp.cp.engine.constraints.scheduling,NoOverlapBCLeftToRight.Outcome,0,21,0,0,0,2,0,1,0,1
org.maxicp:maxicp,org.maxicp.cp.engine.constraints.scheduling,IntervalVarEndOrValue,0,67,0,4,0,18,0,5,0,3
org.maxicp:maxicp,org.maxicp.cp.engine.constraints.scheduling,IsEndBefore,4,110,1,11,1,26,1,8,0,3
org.maxicp:maxicp,org.maxicp.cp.engine.constraints.scheduling,EndAtEnd,3,87,4,8,1,17,4,5,0,3
org.maxicp:maxicp,org.maxicp.cp.engine.constraints.scheduling,ThetaTree,0,152,0,8,0,31,0,10,0,6
org.maxicp:maxicp,org.maxicp.cp.engine.constraints.scheduling,CPFlatCumulFunction,10,7,0,0,2,4,2,3,2,3
org.maxicp:maxicp,org.maxicp.cp.engine.constraints.scheduling,IntervalVarStartOrValue,0,67,0,4,0,18,0,5,0,3
org.maxicp:maxicp,org.maxicp.cp.engine.constraints.scheduling,Profile.Rectangle,17,33,1,1,2,11,3,5,2,5
org.maxicp:maxicp,org.maxicp.cp.engine.constraints.scheduling,NoOverlapLeftToRight.Outcome,0,21,0,0,0,2,0,1,0,1
org.maxicp:maxicp,org.maxicp.cp.engine.constraints.scheduling,IsEndBeforeEnd,125,0,18,0,29,0,12,0,3,0
org.maxicp:maxicp,org.maxicp.cp.engine.constraints.scheduling,GeneralizedCumulativeSweepMin.EventType,21,0,0,0,2,0,1,0,1,0
org.maxicp:maxicp,org.maxicp.cp.engine.constraints.scheduling,GeneralizedCumulativeSweepMax.EventType,21,0,0,0,2,0,1,0,1,0
